mAb,obj
https://www.imgt.org/imgt-ontology#mAb_546,https://www.imgt.org/imgt-ontology#Product_Merrimack_Pharmaceuticals_546
https://www.imgt.org/imgt-ontology#mAb_4,https://www.imgt.org/imgt-ontology#Product_Scotgen_Biopharmaceuticals_Ltd_4
https://www.imgt.org/imgt-ontology#mAb_933,https://www.imgt.org/imgt-ontology#Product_Sotio_933
https://www.imgt.org/imgt-ontology#mAb_244,https://www.imgt.org/imgt-ontology#Product_Novartis_Pharmaceuticals_Corp_244
https://www.imgt.org/imgt-ontology#mAb_1500,https://www.imgt.org/imgt-ontology#Product_1500
https://www.imgt.org/imgt-ontology#mAb_1234,https://www.imgt.org/imgt-ontology#Product_Tessa_Therapeutics_1234
https://www.imgt.org/imgt-ontology#mAb_528,https://www.imgt.org/imgt-ontology#Product_AstraZeneca_528
https://www.imgt.org/imgt-ontology#mAb_1090,https://www.imgt.org/imgt-ontology#Product_ADC_Therapeutics_1090
https://www.imgt.org/imgt-ontology#mAb_634,https://www.imgt.org/imgt-ontology#Product_Bristol-Myers_Squibb_634
https://www.imgt.org/imgt-ontology#mAb_634,https://www.imgt.org/imgt-ontology#Product_Adnexus_634
https://www.imgt.org/imgt-ontology#mAb_112,https://www.imgt.org/imgt-ontology#Product_Abgenix_112
https://www.imgt.org/imgt-ontology#mAb_1292,https://www.imgt.org/imgt-ontology#Product_Larimar_Therapeutics_Inc_1292
https://www.imgt.org/imgt-ontology#mAb_1537,https://www.imgt.org/imgt-ontology#Product_National_Cancer_Institute_1537
https://www.imgt.org/imgt-ontology#mAb_16,https://www.imgt.org/imgt-ontology#Product_National_Cancer_Institute_16
https://www.imgt.org/imgt-ontology#mAb_72,https://www.imgt.org/imgt-ontology#Product_National_Cancer_Institute_72
https://www.imgt.org/imgt-ontology#mAb_116,https://www.imgt.org/imgt-ontology#Product_National_Cancer_Institute_116
https://www.imgt.org/imgt-ontology#mAb_206,https://www.imgt.org/imgt-ontology#Product_National_Cancer_Institute_206
https://www.imgt.org/imgt-ontology#mAb_109,https://www.imgt.org/imgt-ontology#Product_National_Cancer_Institute_109
https://www.imgt.org/imgt-ontology#mAb_204,https://www.imgt.org/imgt-ontology#Product_National_Cancer_Institute_204
https://www.imgt.org/imgt-ontology#mAb_203,https://www.imgt.org/imgt-ontology#Product_National_Cancer_Institute_203
https://www.imgt.org/imgt-ontology#mAb_202,https://www.imgt.org/imgt-ontology#Product_National_Cancer_Institute_202
https://www.imgt.org/imgt-ontology#mAb_1079,https://www.imgt.org/imgt-ontology#Product_BeiGene_1079
https://www.imgt.org/imgt-ontology#mAb_414,https://www.imgt.org/imgt-ontology#Product_Alder_Biopharmaceuticals_Inc_414
https://www.imgt.org/imgt-ontology#mAb_1299,https://www.imgt.org/imgt-ontology#Product_Sanofi_1299
https://www.imgt.org/imgt-ontology#mAb_722,https://www.imgt.org/imgt-ontology#Product_Daiichi_Sankyo_Inc_722
https://www.imgt.org/imgt-ontology#mAb_722,https://www.imgt.org/imgt-ontology#Product_AstraZeneca_722
https://www.imgt.org/imgt-ontology#mAb_995,https://www.imgt.org/imgt-ontology#Product_Fresenius_Biotech_GmbH_995
https://www.imgt.org/imgt-ontology#mAb_509,https://www.imgt.org/imgt-ontology#Product_3SBio_Inc_509
https://www.imgt.org/imgt-ontology#mAb_509,https://www.imgt.org/imgt-ontology#Product_DiNonA_Co_Ltd_509
https://www.imgt.org/imgt-ontology#mAb_1380,https://www.imgt.org/imgt-ontology#Product_Neurocrine_Biosciences_1380
